Timestamp,Value
1996-10-10,126.29
1996-10-11,127.25
1996-10-14,127.62
1996-10-15,128.82
1996-10-16,128.32
1996-10-17,128.18
1996-10-18,128.64
1996-10-21,129.26
1996-10-22,128.88
1996-10-23,127.23
1996-10-24,126.87
1996-10-25,126.76
1996-10-28,127.13
1996-10-29,125.93
1996-10-30,125.78
1996-10-31,125.94
1996-11-04,125.26
1996-11-05,126.34
1996-11-06,127.16
1996-11-07,127.44
1996-11-08,127.46
1996-11-11,127.35
1996-11-12,127.51
1996-11-13,127.76
1996-11-14,128.7
1996-11-15,128.81
1996-11-18,128.77
1996-11-19,127.99
1996-11-20,128.64
1996-11-21,128.68
1996-11-22,129.04
1996-11-25,130.19
1996-11-26,131.49
1996-11-27,130.19
1996-11-28,130.08
1996-11-29,130.9
1996-12-02,130.98
1996-12-03,131.62
1996-12-04,131.15
1996-12-05,131.74
1996-12-06,129.36
1996-12-09,130.6
1996-12-10,132.34
1996-12-11,130.96
1996-12-12,130.64
1996-12-13,129.35
1996-12-16,131.34
1996-12-17,130.1
1996-12-18,131.15
1996-12-19,130.97
1996-12-20,132.15
1996-12-23,133.37
1996-12-27,134.03
1996-12-30,136.13
1997-01-02,134.68
1997-01-03,136.6
1997-01-06,137.66
1997-01-07,138.72
1997-01-08,139.03
1997-01-09,138.68
1997-01-10,139.69
1997-01-13,142.44
1997-01-14,143.39
1997-01-15,145.37
1997-01-16,145.52
1997-01-17,144.78
1997-01-20,144.36
1997-01-21,142.75
1997-01-22,143.9
1997-01-23,144.76
1997-01-24,143.51
1997-01-27,144.07
1997-01-28,144.43
1997-01-29,144.22
1997-01-30,145.43
1997-01-31,147.88
1997-02-03,149.96
1997-02-04,150.76
1997-02-05,151.55
1997-02-06,152.24
1997-02-07,152.9
1997-02-10,152.47
1997-02-11,151.47
1997-02-12,152.86
1997-02-13,154.48
1997-02-14,155.67
1997-02-17,156.0
1997-02-18,157.54
1997-02-19,158.71
1997-02-20,159.12
1997-02-21,157.89
1997-02-24,154.39
1997-02-25,154.6
1997-02-26,154.53
1997-02-27,152.73
1997-02-28,152.97
1997-03-03,153.7
1997-03-04,155.88
1997-03-05,155.64
1997-03-06,158.43
1997-03-07,158.14
1997-03-10,158.6
1997-03-11,161.47
1997-03-12,159.78
1997-03-13,158.53
1997-03-14,159.92
1997-03-17,159.13
1997-03-18,158.48
1997-03-19,158.03
1997-03-20,153.75
1997-03-21,153.99
1997-03-24,152.84
1997-03-25,153.3
1997-03-26,154.58
1997-04-01,152.7
1997-04-02,152.75
1997-04-03,148.68
1997-04-04,149.02
1997-04-07,151.1
1997-04-08,152.43
1997-04-09,154.04
1997-04-10,154.18
1997-04-11,154.08
1997-04-14,152.53
1997-04-15,152.16
1997-04-16,151.88
1997-04-17,152.66
1997-04-18,153.46
1997-04-21,153.46
1997-04-22,154.74
1997-04-23,155.79
1997-04-24,156.7
1997-04-28,156.26
1997-04-29,156.09
1997-04-30,154.77
1997-05-01,156.16
1997-05-02,156.85
1997-05-05,157.63
1997-05-06,160.04
1997-05-07,159.74
1997-05-09,159.6
1997-05-12,161.11
1997-05-13,163.03
1997-05-14,163.9
1997-05-15,165.85
1997-05-16,167.92
1997-05-20,167.5
1997-05-21,167.53
1997-05-22,165.92
1997-05-23,166.36
1997-05-26,167.1
1997-05-27,166.02
1997-05-28,165.85
1997-05-29,165.51
1997-05-30,163.77
1997-06-02,164.84
1997-06-03,165.94
1997-06-04,167.45
1997-06-06,168.14
1997-06-09,170.4
1997-06-10,170.38
1997-06-11,170.27
1997-06-12,170.76
1997-06-13,171.23
1997-06-16,171.47
1997-06-17,170.94
1997-06-18,170.9
1997-06-19,172.14
1997-06-20,173.04
1997-06-23,173.11
1997-06-24,172.28
1997-06-25,172.0
1997-06-26,171.23
1997-06-27,170.82
1997-06-30,171.71
1997-07-01,174.63
1997-07-02,175.58
1997-07-03,175.65
1997-07-04,177.76
1997-07-07,178.25
1997-07-08,179.01
1997-07-09,180.48
1997-07-10,183.29
1997-07-11,185.34
1997-07-14,186.1
1997-07-15,187.96
1997-07-16,190.38
1997-07-17,195.61
1997-07-18,192.12
1997-07-21,188.56
1997-07-22,190.59
1997-07-23,191.66
1997-07-24,190.59
1997-07-25,189.29
1997-07-28,190.6
1997-07-29,188.46
1997-07-30,188.8
1997-07-31,189.18
1997-08-01,189.28
1997-08-04,186.68
1997-08-05,185.17
1997-08-06,184.76
1997-08-07,186.41
1997-08-08,185.73
1997-08-11,185.09
1997-08-12,184.55
1997-08-13,185.53
1997-08-14,183.86
1997-08-15,181.99
1997-08-18,180.86
1997-08-19,182.29
1997-08-20,185.43
1997-08-21,186.56
1997-08-22,183.47
1997-08-25,184.24
1997-08-26,182.96
1997-08-27,182.47
1997-08-28,181.85
1997-08-29,176.95
1997-09-01,177.01
1997-09-02,178.91
1997-09-03,179.75
1997-09-04,176.4
1997-09-05,177.41
1997-09-08,177.5
1997-09-09,178.23
1997-09-10,177.73
1997-09-11,175.15
1997-09-12,175.97
1997-09-15,174.58
1997-09-16,175.67
1997-09-17,176.77
1997-09-18,178.46
1997-09-19,179.13
1997-09-22,181.0
1997-09-23,179.94
1997-09-24,182.56
1997-09-25,183.94
1997-09-26,189.12
1997-09-29,190.81
1997-09-30,191.7
1997-10-01,193.04
1997-10-02,194.12
1997-10-03,195.92
1997-10-06,194.87
1997-10-07,193.18
1997-10-08,191.05
1997-10-09,189.12
1997-10-10,188.59
1997-10-13,193.01
1997-10-14,195.21
1997-10-15,192.76
1997-10-16,192.06
1997-10-17,190.95
1997-10-20,190.52
1997-10-21,193.67
1997-10-22,194.75
1997-10-23,190.26
1997-10-24,191.11
1997-10-27,188.16
1997-10-28,184.65
1997-10-29,187.27
1997-10-30,181.76
1997-10-31,182.62
1997-11-03,185.39
1997-11-04,183.59
1997-11-05,184.24
1997-11-06,184.09
1997-11-07,181.23
1997-11-10,182.99
1997-11-11,183.1
1997-11-12,182.23
1997-11-13,182.63
1997-11-14,182.87
